date,exchange,status,start_time,end_time,holiday_name
2/19/2024,NYSE,closed,,,Washington's Birthday
3/12/2024,NYSE,economic,,,cpi
3/14/2024,NYSE,economic,,,ppi
3/15/2024,NYSE,economic,,,witching
3/20/2024,NYSE,economic,,,fomc
3/29/2024,NYSE,closed,,,Good Friday
4/10/2024,NYSE,economic,,,cpi
4/11/2024,NYSE,economic,,,ppi
5/1/2024,NYSE,economic,,,fomc
5/14/2024,NYSE,economic,,,ppi
5/15/2024,NYSE,economic,,,cpi
5/27/2024,NYSE,closed,,,Memorial Day
6/12/2024,NYSE,economic,,,fomc|cpi
6/13/2024,NYSE,economic,,,ppi
6/19/2024,NYSE,closed,,,Juneteenth
6/21/2024,NYSE,economic,,,witching
7/3/2024,NYSE,short day,9:30,13:00,Independence Day
7/4/2024,NYSE,closed,,,Independence Day
7/11/2024,NYSE,economic,,,cpi
7/12/2024,NYSE,economic,,,ppi
7/31/2024,NYSE,economic,,,fomc
8/13/2024,NYSE,economic,,,ppi
8/14/2024,NYSE,economic,,,cpi
9/2/2024,NYSE,closed,,,Labor Day
9/11/2024,NYSE,economic,,,cpi
9/12/2024,NYSE,economic,,,ppi
9/18/2024,NYSE,economic,,,fomc
9/20/2024,NYSE,economic,,,witching
10/10/2024,NYSE,economic,,,cpi
10/11/2024,NYSE,economic,,,ppi
11/7/2024,NYSE,economic,,,fomc
11/13/2024,NYSE,economic,,,cpi
11/14/2024,NYSE,economic,,,ppi
11/28/2024,NYSE,closed,,,Thanksgiving Day
11/29/2024,NYSE,short day,9:30,13:00,Black Friday
12/11/2024,NYSE,economic,,,cpi
12/12/2024,NYSE,economic,,,ppi
12/18/2024,NYSE,economic,,,fomc
12/20/2024,NYSE,economic,,,witching
12/24/2024,NYSE,short day,9:30,13:00,Christmas Eve
12/25/2024,NYSE,closed,,,Christmas Day
1/1/2025,NYSE,closed,,,New Year's Day
1/9/2025,NYSE,closed,,,Jimmy Carter
1/14/2025,NYSE,economic,,,ppi
1/15/2025,NYSE,economic,,,cpi
1/20/2025,NYSE,closed,,,Martin Luther King's Birthday
1/29/2025,NYSE,economic,,,fomc
2/12/2025,NYSE,economic,,,cpi
2/13/2025,NYSE,economic,,,ppi
2/17/2025,NYSE,closed,,,Washington's Birthday
3/12/2025,NYSE,economic,,,cpi
3/13/2025,NYSE,economic,,,ppi
3/19/2025,NYSE,economic,,,fomc
3/21/2025,NYSE,economic,,,witching
4/9/2025,NYSE,economic,,,ppi
4/10/2025,NYSE,economic,,,cpi
4/18/2025,NYSE,closed,,,Good Friday
5/7/2025,NYSE,economic,,,fomc
5/13/2025,NYSE,economic,,,cpi
5/15/2025,NYSE,economic,,,ppi
5/26/2025,NYSE,closed,,,Memorial Day
6/11/2025,NYSE,economic,,,cpi
6/12/2025,NYSE,economic,,,ppi
6/18/2025,NYSE,economic,,,fomc
6/19/2025,NYSE,closed,,,Juneteenth
6/20/2025,NYSE,economic,,,witching
7/3/2025,NYSE,short day,9:30,13:00,Independence Day
7/4/2025,NYSE,closed,,,Independence Day
7/11/2025,NYSE,economic,,,cpi
7/15/2025,NYSE,economic,,,ppi
7/30/2025,NYSE,economic,,,fomc
8/12/2025,NYSE,economic,,,cpi|ppi
9/1/2025,NYSE,closed,,,Labor Day
9/10/2025,NYSE,economic,,,cpi
9/11/2025,NYSE,economic,,,ppi
9/17/2025,NYSE,economic,,,fomc
9/19/2025,NYSE,economic,,,witching
10/14/2025,NYSE,economic,,,cpi
10/15/2025,NYSE,economic,,,ppi
10/29/2025,NYSE,economic,,,fomc
11/12/2025,NYSE,economic,,,cpi
11/13/2025,NYSE,economic,,,ppi
11/27/2025,NYSE,closed,,,Thanksgiving Day
11/28/2025,NYSE,short day,9:30,13:00,Black Friday
12/10/2025,NYSE,economic,,,fomc|cpi
12/11/2025,NYSE,economic,,,ppi
12/19/2025,NYSE,economic,,,witching
12/24/2025,NYSE,short day,9:30,13:00,Christmas Eve
12/25/2025,NYSE,closed,,,Christmas Day
1/1/2026,NYSE,closed,,,New Year's Day
1/13/2026,NYSE,economic,,,cpi
1/14/2026,NYSE,economic,,,ppi
1/19/2026,NYSE,closed,,,Martin Luther King's Birthday
1/28/2026,NYSE,economic,,,fomc
2/12/2026,NYSE,economic,,,ppi
2/13/2026,NYSE,economic,,,cpi
2/16/2026,NYSE,closed,,,Washington's Birthday
3/11/2026,NYSE,economic,,,cpi
3/12/2026,NYSE,economic,,,ppi
3/18/2026,NYSE,economic,,,fomc
3/20/2026,NYSE,economic,,,witching
4/3/2026,NYSE,closed,,,Good Friday
4/9/2026,NYSE,economic,,,ppi
4/10/2026,NYSE,economic,,,cpi
5/6/2026,NYSE,economic,,,fomc
5/12/2026,NYSE,economic,,,cpi
5/14/2026,NYSE,economic,,,ppi
5/25/2026,NYSE,closed,,,Memorial Day
6/10/2026,NYSE,economic,,,cpi
6/11/2026,NYSE,economic,,,ppi
6/17/2026,NYSE,economic,,,fomc
6/19/2026,NYSE,closed,,,Juneteenth
6/19/2026,NYSE,economic,,,witching
7/3/2026,NYSE,closed,,,Independence Day
7/14/2026,NYSE,economic,,,cpi|ppi
7/29/2026,NYSE,economic,,,fomc
8/12/2026,NYSE,economic,,,cpi
8/13/2026,NYSE,economic,,,ppi
9/7/2026,NYSE,closed,,,Labor Day
9/11/2026,NYSE,economic,,,cpi
9/15/2026,NYSE,economic,,,ppi
9/16/2026,NYSE,economic,,,fomc
9/18/2026,NYSE,economic,,,witching
10/14/2026,NYSE,economic,,,cpi
10/15/2026,NYSE,economic,,,ppi
10/28/2026,NYSE,economic,,,fomc
11/10/2026,NYSE,economic,,,cpi
11/12/2026,NYSE,economic,,,ppi
11/26/2026,NYSE,closed,,,Thanksgiving Day
11/27/2026,NYSE,short day,9:30,13:00,Black Friday
12/9/2026,NYSE,economic,,,fomc
12/10/2026,NYSE,economic,,,cpi
12/11/2026,NYSE,economic,,,ppi
12/18/2026,NYSE,economic,,,witching
12/24/2026,NYSE,short day,9:30,13:00,Christmas Eve
12/25/2026,NYSE,closed,,,Christmas Day
1/1/2027,NYSE,closed,,,New Year's Day
1/18/2027,NYSE,closed,,,Martin Luther King's Birthday
1/27/2027,NYSE,economic,,,fomc
2/15/2027,NYSE,closed,,,Washington's Birthday
3/17/2027,NYSE,economic,,,fomc
3/19/2027,NYSE,economic,,,witching
3/26/2027,NYSE,closed,,,Good Friday
4/28/2027,NYSE,economic,,,fomc
5/31/2027,NYSE,closed,,,Memorial Day
6/9/2027,NYSE,economic,,,fomc
6/18/2027,NYSE,closed,,,Juneteenth
6/18/2027,NYSE,economic,,,witching
7/5/2027,NYSE,closed,,,Independence Day
7/28/2027,NYSE,economic,,,fomc
9/6/2027,NYSE,closed,,,Labor Day
9/15/2027,NYSE,economic,,,fomc
9/17/2027,NYSE,economic,,,witching
10/27/2027,NYSE,economic,,,fomc
11/25/2027,NYSE,closed,,,Thanksgiving Day
11/26/2027,NYSE,short day,9:30,13:00,Black Friday
12/8/2027,NYSE,economic,,,fomc
12/17/2027,NYSE,economic,,,witching
12/24/2027,NYSE,closed,,,Christmas Day
1/1/2028,NYSE,closed,,,New Year's Day
1/17/2028,NYSE,closed,,,Martin Luther King's Birthday
1/26/2028,NYSE,economic,,,fomc
2/21/2028,NYSE,closed,,,Washington's Birthday
3/15/2028,NYSE,economic,,,fomc
3/17/2028,NYSE,economic,,,witching
4/14/2028,NYSE,closed,,,Good Friday
5/3/2028,NYSE,economic,,,fomc
5/29/2028,NYSE,closed,,,Memorial Day
6/14/2028,NYSE,economic,,,fomc
6/16/2028,NYSE,economic,,,witching
6/19/2028,NYSE,closed,,,Juneteenth
7/4/2028,NYSE,closed,,,Independence Day
7/26/2028,NYSE,economic,,,fomc
9/4/2028,NYSE,closed,,,Labor Day
9/15/2028,NYSE,economic,,,witching
9/20/2028,NYSE,economic,,,fomc
11/1/2028,NYSE,economic,,,fomc
11/23/2028,NYSE,closed,,,Thanksgiving Day
11/24/2028,NYSE,short day,9:30,13:00,Black Friday
12/13/2028,NYSE,economic,,,fomc
12/15/2028,NYSE,economic,,,witching
12/25/2028,NYSE,closed,,,Christmas Day
